Date,Fundamental Long-Biased Equity,Fundamental Market Neutral Equity,Fundamental Credit,Structured Credit,Diversified Multi-Strategy,Opportunistic MS,Global Macro,Quantitative
10/1/2010,0.024155978,-0.008576325,0.018962768,0.014422115,0.01736795,0.021110381,,
11/1/2010,0.007344874,0.003066754,0.006026537,0.013325068,0.001639588,0.024231562,,
12/1/2010,0.026596812,-0.003432036,0.023062769,0.008745655,0.019596302,0.027946811,,
1/1/2011,0.00016807,-0.002429312,0.026052679,0.022458609,0.013733454,-0.003200458,,
2/1/2011,0.013968158,-0.010777688,0.01555438,0.015894911,0.014568051,0.031396731,,
3/1/2011,0.005132144,-0.018823764,0.005370797,-0.001991276,0.001542898,0.009521702,,
4/1/2011,0.017955043,-0.008185905,0.009142626,0.008418306,0.01022386,0.022739176,,
5/1/2011,-0.0046781,0.004391967,0.003159895,-0.002139148,-0.000977969,0.012899167,,
6/1/2011,-0.011255364,-0.010082597,-0.007156409,-0.014447253,-0.010776422,-0.017498553,,
7/1/2011,-0.006337465,0.006698152,0.000828111,0.003503132,0.000942015,0.000547129,,
8/1/2011,-0.044592179,-0.001619859,-0.038054426,-0.02425354,-0.027701947,-0.058486662,,
9/1/2011,-0.046876697,0.026234195,-0.032882217,-0.015807551,-0.02458727,-0.044395645,,
10/1/2011,0.04725956,-0.029099936,0.021417575,-0.003721167,0.020655542,0.046128806,,
11/1/2011,-0.000154958,-0.000288946,-0.006275971,-0.00219668,-0.004766786,-0.01916238,,
12/1/2011,-0.007749519,-0.003096928,0.007887733,0.004864027,-0.006439357,0.00051771,,
1/1/2012,0.027214414,-0.032023985,0.033256498,0.031319006,0.024337604,0.006318107,-0.001335632,
2/1/2012,0.035527768,-0.017531599,0.025179111,0.02741088,0.016322403,0.023694381,0.013453662,
3/1/2012,0.008445131,-0.016428236,0.016081507,0.019331048,0.012122328,0.017165719,0.011220036,
4/1/2012,-0.002209892,-0.006848901,0.009400279,0.007512729,0.001034641,-0.002170824,0.007733199,
5/1/2012,-0.038042352,-0.01634594,-0.003530191,0.001626756,-0.014227284,-0.026451428,0.015415679,
6/1/2012,0.004500335,0.007162002,0.005300325,0.012465484,0.0084862,-0.000420297,-0.025587336,
7/1/2012,0.011075395,-0.007236778,0.014863408,0.02772387,0.006645724,-9.77E-05,0.011124042,
8/1/2012,0.023839664,-0.000487038,0.013580543,0.020121091,0.015193884,0.011550077,-0.000135817,
9/1/2012,0.011785636,-0.011032317,0.021240786,0.031225196,0.016700991,0.006669789,-0.003658421,
10/1/2012,-0.004399093,-0.00017837,0.014749137,0.015532318,0.011380122,-0.001292533,-0.007824235,
11/1/2012,0.009821275,0.006303978,0.010982246,0.017210698,0.007724694,0.012976476,0.007726066,
12/1/2012,0.005587677,0.00982922,0.02024215,0.013055599,0.019402433,0.002258929,0.015758351,
1/1/2013,0.040087878,0.022928519,0.031010991,0.032739621,0.021857541,0.021730251,0.012388307,
2/1/2013,0.009430648,0.003719863,0.015596188,0.007332936,0.006723756,0.026789593,-0.004233061,
3/1/2013,0.021893511,0.019901755,0.017021839,0.010887504,0.014541783,0.026241664,0.009224467,
4/1/2013,0.003333176,0.000920258,0.020655893,0.020231601,0.011489284,0.018181949,0.001997901,
5/1/2013,0.02442622,-0.003717533,0.022087755,0.018922449,0.016370039,0.012947774,0.010986523,
6/1/2013,-0.007050605,0.026688115,-0.009660618,-0.017208118,-0.005462101,-0.01308877,0.002740788,
7/1/2013,0.027167547,0.015917434,0.013514767,0.012158949,0.012439801,0.064597149,0.011918718,
8/1/2013,-0.004160091,0.007448603,0.004561889,0.003421304,0.00677192,-0.000761454,-0.004074783,
9/1/2013,0.029824346,0.013118487,0.014996142,0.009188052,0.018983691,0.036810533,-0.001745133,
10/1/2013,0.014663706,0.013386669,0.015525901,0.019059563,0.012326007,0.021813829,0.013917165,
11/1/2013,0.029484024,0.008079293,0.012020009,0.011389455,0.010736204,0.015817875,0.018603,
12/1/2013,0.010878195,0.026821636,0.007893077,0.011485957,0.0151133,0.025846927,0.020728214,
1/1/2014,-0.008155874,0.024365169,0.012381715,0.013313908,0.006604502,-0.025244477,-0.014108909,
2/1/2014,0.019564663,0.010410318,0.017403727,0.014042069,0.013762058,0.040330491,0.017899774,
3/1/2014,-0.003930215,-0.008799091,0.006455222,0.007977994,-0.002400802,-0.009330965,-0.029088562,
4/1/2014,-0.01407378,-0.004392779,0.00558394,0.010235338,-0.002292324,-0.014460188,-0.017744037,
5/1/2014,0.018064865,0.024700693,0.010080517,0.009675471,0.008591558,0.021157562,0.002917794,
6/1/2014,0.007833927,-0.012374812,0.014360837,0.010460963,0.013630118,0.025700191,0.006915017,
7/1/2014,-0.02490554,0.008177952,0.001387602,0.002817087,0.003151407,-0.007028306,-0.000481563,
8/1/2014,0.023258287,0.018668259,0.002890641,0.005787398,-2.47E-05,0.010606009,0.006073103,
9/1/2014,-0.007750047,0.008622312,-0.007442877,0.002386411,0.008802509,0.001075247,0.01444406,
10/1/2014,0.007315938,-0.025756802,-0.003244393,0.002346553,-0.016803564,0.00392966,-0.013185202,
11/1/2014,0.024740323,0.006211684,0.002222741,0.002688826,0.007826733,0.0358278,0.017821309,
12/1/2014,0.004908605,0.011471088,-0.006078483,-0.000271056,0.001689382,-0.004547215,0.012656238,
1/1/2015,0.002848874,0.028993196,-0.007612804,-0.000502242,-0.006238111,-0.000102249,0.003113515,
2/1/2015,0.033554195,0.006722403,0.012635538,0.007976098,0.020851621,0.031647329,-0.001496053,
3/1/2015,0.011439862,0.023962959,0.007450375,0.005826933,0.006114666,-0.006011454,0.003752823,
4/1/2015,-0.003908682,0.002218787,0.013185505,0.007974659,0.006035514,0.002683771,-0.000963284,
5/1/2015,0.015980305,0.022710007,0.00250715,0.004034311,0.005727341,0.020683374,0.018391099,
6/1/2015,-0.001938376,0.003923309,-0.01383472,-0.003319247,-0.001903339,-0.018608105,-0.004093844,
7/1/2015,0.021052527,0.015007221,-0.000942087,-0.001817382,0.000854601,-0.005588366,0.007317466,
8/1/2015,-0.03178471,0.016729522,-0.015479475,-0.004877149,-0.00236896,-0.032655107,-0.023205701,
9/1/2015,-0.030295762,-0.030881331,-0.016363683,-0.009932045,-0.014716824,-0.022988178,-0.002391884,
10/1/2015,0.016302027,-0.012613733,0.003349449,-0.0006169,0.002096428,0.047718729,0.014908161,
11/1/2015,0.004216682,0.003909884,-0.009749466,-0.000271052,-0.006802065,0.002214703,0.018171929,
12/1/2015,-0.00158578,0.017595383,-0.01437709,-0.006134261,-0.009190829,-0.01297425,-0.020174462,
1/1/2016,-0.059668173,0.005325656,-0.014800509,-0.026092436,-0.015334546,-0.038677962,-0.012463873,
